DESCRIP,STOCK,FECHA,HORA,ANTES,CANTID,DESPUES,NUT,OBS,CODIGO,TIPO,NUMERO,NOM_PROV,VENDEDOR
SARVAL 80 mg Cmp.recx30,3.0,2026-03-07,12:03:25,3.0,-1.0,2.0,1102526,MM: MP59331 Af: 155924020709/0,5435422,Venta,TK 925160,,119.0
SARVAL 80 mg Cmp.recx30,,,,,,,99999999,,5435422,Fin,,,
SARVAL D 80/12.5 mg cmp.recx30,2.0,2026-03-07,11:23:24,0.0,2.0,2.0,1102484,Fp: 07/03/26 Ff: 07/03/26,5552683,COMPRA,0014-24723889,ASOPROFARMA,118.0
SARVAL D 80/12.5 mg cmp.recx30,,,,,,,99999999,,5552683,Fin,,,
TENSIUM 0.5 mg Cmp.ranx30,1.0,2026-03-07,11:15:48,0.0,1.0,1.0,1102473,Fp: 07/03/26 Ff: 07/03/26,4251753,COMPRA,0014-24723889,ASOPROFARMA,118.0
TENSIUM 0.5 mg Cmp.ranx30,,,,,,,99999999,,4251753,Fin,,,
TENSIUM 0.5 mg Cmp.ranx60,1.0,2026-03-07,11:15:48,0.0,1.0,1.0,1102473,Fp: 07/03/26 Ff: 07/03/26,4251755,COMPRA,0014-24723889,ASOPROFARMA,118.0
TENSIUM 0.5 mg Cmp.ranx60,,,,,,,99999999,,4251755,Fin,,,
TORIVAS 10 mg Cmp.rec.ranx30,4.0,2026-03-07,09:51:39,4.0,-1.0,3.0,1102376,MM: MP39607 Af: 140010714304/0,4674163,Venta,TK 925028,,17.0
TORIVAS 10 mg Cmp.rec.ranx30,4.0,2026-03-07,18:06:44,3.0,1.0,4.0,1102724,Fp: 07/03/26 Ff: 07/03/26,4674163,COMPRA,0014-24729154,ASOPROFARMA,64.0
TORIVAS 10 mg Cmp.rec.ranx30,,,,,,,99999999,,4674163,Fin,,,
XEDENOL B12 Cmp.recx20,1.0,2026-03-07,11:15:48,0.0,1.0,1.0,1102473,Fp: 07/03/26 Ff: 07/03/26,4653372,COMPRA,0014-24723889,ASOPROFARMA,118.0
XEDENOL B12 Cmp.recx20,,,,,,,99999999,,4653372,Fin,,,
DOSODOS jbex150 ml,1.0,2026-03-07,10:42:06,0.0,1.0,1.0,1102431,Fp: 07/03/26 Ff: 07/03/26,2137362,COMPRA,0306-20333291,SUIZO ARGENTINA SA,118.0
DOSODOS jbex150 ml,,,,,,,99999999,,2137362,Fin,,,
MENOCLIM PRO crx15 g,1.0,2026-03-07,14:48:47,1.0,-1.0,0.0,1102627,MM: MP335617 Af: 150241077109/,6366681,Venta Con Vale!,TK 925253,,13.0
MENOCLIM PRO crx15 g,,,,,,,99999999,,6366681,Fin,,,
MENOCLIM PRO Ovulos x20,1.0,2026-03-07,10:30:24,1.0,-1.0,0.0,1102417,MM:  Af:,6366712,Venta,TK 925062,,50.0
MENOCLIM PRO Ovulos x20,1.0,2026-03-07,18:06:44,0.0,1.0,1.0,1102724,Fp: 07/03/26 Ff: 07/03/26,6366712,COMPRA,0014-24729154,ASOPROFARMA,64.0
MENOCLIM PRO Ovulos x20,,,,,,,99999999,,6366712,Fin,,,
OXADISTEN crx50 g,1.0,2026-03-07,11:23:24,0.0,1.0,1.0,1102484,Fp: 07/03/26 Ff: 07/03/26,3693311,COMPRA,0014-24723889,ASOPROFARMA,118.0
OXADISTEN crx50 g,,,,,,,99999999,,3693311,Fin,,,
PSICOASTEN 20 mg Cmp.recx30,1.0,2026-03-07,19:28:22,1.0,-1.0,0.0,1102770,MM: MP231957 Af: 216223916600,4448102,Venta,TK 925383,,239.0
PSICOASTEN 20 mg Cmp.recx30,,,,,,,99999999,,4448102,Fin,,,
WETOL Cmp.recx30,1.0,2026-03-07,13:39:42,1.0,-1.0,0.0,1102597,MM: MP454475 Af: 2724627681700,4429051,Venta,TK 925224,,236.0
WETOL Cmp.recx30,,,,,,,99999999,,4429051,Fin,,,
BEROTEC HFA aerosol HFA x10 ml,1.0,2026-03-07,18:06:44,0.0,1.0,1.0,1102724,Fp: 07/03/26 Ff: 07/03/26,4799821,COMPRA,0014-24729154,ASOPROFARMA,64.0
BEROTEC HFA aerosol HFA x10 ml,,,,,,,99999999,,4799821,Fin,,,
ALERCAS 120 mg compx30,3.0,2026-03-07,09:42:18,3.0,-1.0,2.0,1102363,MM: MP37731 Af: 140087997000/0,4767984,Venta,TK 925015,,119.0
ALERCAS 120 mg compx30,3.0,2026-03-07,18:06:44,2.0,1.0,3.0,1102724,Fp: 07/03/26 Ff: 07/03/26,4767984,COMPRA,0014-24729154,ASOPROFARMA,64.0
ALERCAS 120 mg compx30,,,,,,,99999999,,4767984,Fin,,,
AMPLIAR 20 mg compx60,1.0,2026-03-07,11:04:06,1.0,-1.0,0.0,1102461,MM: MP233891 Af: 140283023603/,4657592,Venta,TK 925098,,119.0
AMPLIAR 20 mg compx60,,,,,,,99999999,,4657592,Fin,,,
AMPLIAR 40 mg compx30,2.0,2026-03-07,08:53:58,5.0,-1.0,4.0,1102328,MM: MP334540 Af: 1503100673090,5923682,Venta,TK 924981,,41.0
AMPLIAR 40 mg compx30,2.0,2026-03-07,09:02:16,4.0,-1.0,3.0,1102334,MM: MP339481 Af: 140283176001/,5923682,Venta,TK 924987,,50.0
AMPLIAR 40 mg compx30,,,,,,,99999999,,5923682,Fin,,,
BLOKIUM 50 mg compx15,0.0,2026-03-07,10:20:43,-1.0,1.0,0.0,1102401,Fp: 07/03/26 Ff: 06/03/26,2822521,COMPRA,0150-12020545,DROGUERIA DEL SUD SA,118.0
BLOKIUM 50 mg compx15,,,,,,,99999999,,2822521,Fin,,,
BLOKIUM B12 compx15,2.0,2026-03-07,21:51:55,2.0,-1.0,1.0,1102823,MM:  Af:,4617071,Venta,TK 925433,,27.0
BLOKIUM B12 compx15,,,,,,,99999999,,4617071,Fin,,,
BLOKIUM COX 60 mg compx28,1.0,2026-03-07,10:42:06,0.0,1.0,1.0,1102431,Fp: 07/03/26 Ff: 07/03/26,6456713,COMPRA,0306-20333291,SUIZO ARGENTINA SA,118.0
BLOKIUM COX 60 mg compx28,,,,,,,99999999,,6456713,Fin,,,
BLOKIUM GESIC 50/400 mg compx1,0.0,2026-03-07,10:35:06,0.0,1.0,1.0,1102423,Fp: 07/03/26 Ff: 07/03/26,2301521,COMPRA,0306-20333291,SUIZO ARGENTINA SA,118.0
BLOKIUM GESIC 50/400 mg compx1,,,,,,,99999999,,2301521,Fin,,,
CARRIER 20 mg compx30,2.0,2026-03-07,11:55:20,4.0,-1.0,3.0,1102517,MM: MP331557 Af: 150359458508/,5960552,Venta,TK 925151,,121.0
CARRIER 20 mg compx30,2.0,2026-03-07,12:30:02,3.0,-1.0,2.0,1102553,MM: MP331557 Af: 150486532201/,5960552,Venta,TK 925185,,218.0
CARRIER 20 mg compx30,,,,,,,99999999,,5960552,Fin,,,
DILCORAN 160 mg Cmp.recx30,1.0,2026-03-07,18:06:44,0.0,1.0,1.0,1102724,Fp: 07/03/26 Ff: 07/03/26,6159975,COMPRA,0014-24729154,ASOPROFARMA,64.0
DILCORAN 160 mg Cmp.recx30,,,,,,,99999999,,6159975,Fin,,,
DILCORAN D 160/12.5 mg Cmp.rec,0.0,2026-03-07,10:54:34,-1.0,1.0,0.0,1102455,Fp: 06/03/26 Ff: 06/03/26,6293264,COMPRA,0006-08266848,DROGUERIA DISVAL SRL,118.0
DILCORAN D 160/12.5 mg Cmp.rec,,,,,,,99999999,,6293264,Fin,,,
DILCORAN D PLUS 160/12.5/5 mg,1.0,2026-03-07,09:53:49,2.0,-1.0,1.0,1102378,MM: MP39607 Af: 140010714304/0,6718711,Venta,TK 925029,,17.0
DILCORAN D PLUS 160/12.5/5 mg,,,,,,,99999999,,6718711,Fin,,,
FACTOR AE emulsx400 ml,20.0,2026-03-07,12:07:02,21.0,-1.0,20.0,1102530,MM:  Af:,5143243,Venta,TK 925163,,119.0
FACTOR AE emulsx400 ml,,,,,,,99999999,,5143243,Fin,,,
FACTOR UREA DBT crx200 g,1.0,2026-03-07,10:26:49,1.0,-1.0,0.0,1102414,MM:  Af:,6569551,Venta,TK 925059,,17.0
FACTOR UREA DBT crx200 g,1.0,2026-03-07,18:06:44,0.0,1.0,1.0,1102724,Fp: 07/03/26 Ff: 07/03/26,6569551,COMPRA,0014-24729154,ASOPROFARMA,64.0
FACTOR UREA DBT crx200 g,,,,,,,99999999,,6569551,Fin,,,
HIPOLIPOL 10 mg Cmp.recx28,1.0,2026-03-07,11:40:31,1.0,-1.0,0.0,1102502,MM: MP446841 Af: 1401347526070,5782893,Venta,TK 925136,,121.0
HIPOLIPOL 10 mg Cmp.recx28,,,,,,,99999999,,5782893,Fin,,,
HIPOLIPOL 20 mg Cmp.recx30,1.0,2026-03-07,12:57:32,1.0,-1.0,0.0,1102578,MM: MP331557 Af: 150486532201/,5782975,Venta,TK 925210,,218.0
HIPOLIPOL 20 mg Cmp.recx30,,,,,,,99999999,,5782975,Fin,,,
IFENIL Cmp.rec. x28 (21+7),1.0,2026-03-07,10:20:43,0.0,1.0,1.0,1102401,Fp: 07/03/26 Ff: 06/03/26,5794971,COMPRA,0150-12020545,DROGUERIA DEL SUD SA,118.0
IFENIL Cmp.rec. x28 (21+7),,,,,,,99999999,,5794971,Fin,,,
IMECOT 500 mg compx60,1.0,2026-03-07,12:15:07,1.0,-1.0,0.0,1102536,MM: MP337119 Af: 000000419600,4459592,Venta,TK 925168,,50.0
IMECOT 500 mg compx60,,,,,,,99999999,,4459592,Fin,,,
INHALAN spray nasal x120 ds.,3.0,2026-03-07,11:06:15,3.0,-1.0,2.0,1102462,MM:  Af:,5741002,Venta,TK 925099,,121.0
INHALAN spray nasal x120 ds.,,,,,,,99999999,,5741002,Fin,,,
ISOBLOC 12.5 mg compx60,2.0,2026-03-07,20:52:14,2.0,-1.0,1.0,1102801,MM: MP37267 Af: 150653572506/0,5077262,Venta,TK 925413,,239.0
ISOBLOC 12.5 mg compx60,,,,,,,99999999,,5077262,Fin,,,
ISOBLOC 3.125 mg compx30,1.0,2026-03-07,10:20:43,0.0,1.0,1.0,1102401,Fp: 07/03/26 Ff: 06/03/26,6687132,COMPRA,0150-12020545,DROGUERIA DEL SUD SA,118.0
ISOBLOC 3.125 mg compx30,,,,,,,99999999,,6687132,Fin,,,
LIRPAN 10 mg compx30,1.0,2026-03-07,10:20:43,-1.0,1.0,0.0,1102401,Fp: 07/03/26 Ff: 06/03/26,4916711,COMPRA,0150-12020545,DROGUERIA DEL SUD SA,118.0
LIRPAN 10 mg compx30,1.0,2026-03-07,10:54:34,0.0,1.0,1.0,1102455,Fp: 06/03/26 Ff: 06/03/26,4916711,COMPRA,0006-08266848,DROGUERIA DISVAL SRL,118.0
LIRPAN 10 mg compx30,,,,,,,99999999,,4916711,Fin,,,
LOPLAC 50 mg compx60,6.0,2026-03-07,09:11:49,7.0,-1.0,6.0,1102341,MM: MP331548 Af: 150358577506/,4101683,Venta,TK 924994,,121.0
LOPLAC 50 mg compx60,,,,,,,99999999,,4101683,Fin,,,
NEDAL 10 mg Cmp.rec. x30,1.0,2026-03-07,10:20:43,0.0,1.0,1.0,1102401,Fp: 07/03/26 Ff: 06/03/26,6728131,COMPRA,0150-12020545,DROGUERIA DEL SUD SA,118.0
NEDAL 10 mg Cmp.rec. x30,,,,,,,99999999,,6728131,Fin,,,
OTEVIL 16 mg compx30,1.0,2026-03-07,11:15:48,0.0,1.0,1.0,1102473,Fp: 07/03/26 Ff: 07/03/26,6392551,COMPRA,0014-24723889,ASOPROFARMA,118.0
OTEVIL 16 mg compx30,,,,,,,99999999,,6392551,Fin,,,
PELMEC 10 mg compx30,6.0,2026-03-07,08:30:16,7.0,-1.0,6.0,1102316,MM: MP336512 Af: 150365252707/,3674761,Venta,TK 924971,,41.0
PELMEC 10 mg compx30,,,,,,,99999999,,3674761,Fin,,,
PELMEC 5 mg compx30,1.0,2026-03-07,08:46:53,5.0,-1.0,4.0,1102323,MM: MP442617 Af: 150450988101/,3674681,Venta,TK 924976,,50.0
PELMEC 5 mg compx30,1.0,2026-03-07,19:37:02,4.0,-1.0,3.0,1102776,MM:  Af:,3674681,Venta,TK 925389,,27.0
PELMEC 5 mg compx30,,,,,,,99999999,,3674681,Fin,,,
PELMEC 5 mg compx60,2.0,2026-03-07,11:23:24,1.0,1.0,2.0,1102484,Fp: 07/03/26 Ff: 07/03/26,3674683,COMPRA,0014-24723889,ASOPROFARMA,118.0
PELMEC 5 mg compx60,,,,,,,99999999,,3674683,Fin,,,
PLENUR 0.5 mg compx30,1.0,2026-03-07,12:41:41,2.0,-1.0,1.0,1102564,MM: MP331557 Af: 150486532201/,6032842,Venta,TK 925196,,218.0
PLENUR 0.5 mg compx30,,,,,,,99999999,,6032842,Fin,,,
PLEYAR 75 mg Cmp.recx30,2.0,2026-03-07,11:15:48,1.0,1.0,2.0,1102473,Fp: 07/03/26 Ff: 07/03/26,4700712,COMPRA,0014-24723889,ASOPROFARMA,118.0
PLEYAR 75 mg Cmp.recx30,,,,,,,99999999,,4700712,Fin,,,
POLPER B12 a.bebx30,3.0,2026-03-07,14:48:47,3.0,-1.0,2.0,1102627,MM: MP335617 Af: 150241077109/,1723962,Venta,TK 925253,,13.0
POLPER B12 a.bebx30,,,,,,,99999999,,1723962,Fin,,,
QUAZEMIC 0.5 mg compx60,0.0,2026-03-07,10:54:34,-1.0,1.0,0.0,1102455,Fp: 06/03/26 Ff: 06/03/26,5649422,COMPRA,0006-08266848,DROGUERIA DISVAL SRL,118.0
QUAZEMIC 0.5 mg compx60,,,,,,,99999999,,5649422,Fin,,,
REMEXAL 20 mg Cmp.rec. x30,1.0,2026-03-07,11:23:24,0.0,1.0,1.0,1102484,Fp: 07/03/26 Ff: 07/03/26,6502683,COMPRA,0014-24723889,ASOPROFARMA,118.0
REMEXAL 20 mg Cmp.rec. x30,,,,,,,99999999,,6502683,Fin,,,
TENCAS 10 mg compx60,2.0,2026-03-07,08:25:54,2.0,-1.0,1.0,1102314,MM: MP442617 Af: 150450988101/,3649772,Venta,TK 924969,,50.0
TENCAS 10 mg compx60,2.0,2026-03-07,08:41:54,1.0,1.0,2.0,1102321,MM:  Af:,3649772,Anulaci¢n,N1  43595,,8.0
TENCAS 10 mg compx60,,,,,,,99999999,,3649772,Fin,,,
UROKIT sobx60,1.0,2026-03-07,11:23:24,0.0,1.0,1.0,1102484,Fp: 07/03/26 Ff: 07/03/26,3115803,COMPRA,0014-24723889,ASOPROFARMA,118.0
UROKIT sobx60,,,,,,,99999999,,3115803,Fin,,,
VENART capsx30,2.0,2026-03-07,09:01:08,3.0,-1.0,2.0,1102332,MM: MP331548 Af: 150899249503/,4714411,Venta,TK 924985,,121.0
VENART capsx30,,,,,,,99999999,,4714411,Fin,,,
ALFACORT 1% crx30 g,1.0,2026-03-07,19:46:59,1.0,-1.0,0.0,1102782,MM:  Af:,4772252,Venta,TK 925395,,64.0
ALFACORT 1% crx30 g,,,,,,,99999999,,4772252,Fin,,,
BETACORT PLUS CASSARA cr.dérmi,2.0,2026-03-07,11:49:20,3.0,-1.0,2.0,1102509,MM: MP335525 Af: 1504987402070,6193394,Venta,TK 925143,,218.0
BETACORT PLUS CASSARA cr.dérmi,,,,,,,99999999,,6193394,Fin,,,
EUMICEL COLAGENO 2% shampx120,2.0,2026-03-07,11:03:12,2.0,-1.0,1.0,1102460,MM:  Af:,4029336,Venta,TK 925097,,121.0
EUMICEL COLAGENO 2% shampx120,,,,,,,99999999,,4029336,Fin,,,
FLUTIVENT HFA 125/25 mcg dosis,2.0,2026-03-07,10:42:20,0.0,-1.0,-1.0,1102434,MM: MN203472 Af: 240745381000,6041974,Venta Con Vale!,TK 925076,,236.0
FLUTIVENT HFA 125/25 mcg dosis,2.0,2026-03-07,16:29:38,-1.0,1.0,0.0,1102675,Fp: 07/03/26 Ff: 07/03/26,6041974,COMPRA,0306-20334414,SUIZO ARGENTINA SA,64.0
FLUTIVENT HFA 125/25 mcg dosis,,,,,,,99999999,,6041974,Fin,,,
FUSIMED B emulsx50 g,2.0,2026-03-07,10:19:20,2.0,-1.0,1.0,1102399,MM: MP339069 Af: 140127113309/,4228582,Venta,TK 925046,,119.0
FUSIMED B emulsx50 g,2.0,2026-03-07,18:06:44,1.0,1.0,2.0,1102724,Fp: 07/03/26 Ff: 07/03/26,4228582,COMPRA,0014-24729154,ASOPROFARMA,64.0
FUSIMED B emulsx50 g,,,,,,,99999999,,4228582,Fin,,,
MINOCASS 2.5 mg Cmp. x60,1.0,2026-03-07,10:20:43,0.0,1.0,1.0,1102401,Fp: 07/03/26 Ff: 06/03/26,6752973,COMPRA,0150-12020545,DROGUERIA DEL SUD SA,118.0
MINOCASS 2.5 mg Cmp. x60,,,,,,,99999999,,6752973,Fin,,,
NEUMOCORT PLUS c ps.c/inh.+apl,1.0,2026-03-07,19:30:39,1.0,-1.0,0.0,1102771,MM: MP458174 Af: 220429474200,6497713,Venta,TK 925384,,64.0
NEUMOCORT PLUS c ps.c/inh.+apl,,,,,,,99999999,,6497713,Fin,,,
RECUPLUS Cmp.rec. x60,2.0,2026-03-07,18:24:57,0.0,-1.0,-1.0,1102735,MM:  Af:,9959683,Venta Con Vale!,TK 925350,,27.0
RECUPLUS Cmp.rec. x60,,,,,,,99999999,,9959683,Fin,,,
SALBUTRAL AC HFA aerx250 dosis,3.0,2026-03-07,11:15:48,3.0,1.0,4.0,1102473,Fp: 07/03/26 Ff: 07/03/26,6215429,COMPRA,0014-24723889,ASOPROFARMA,118.0
SALBUTRAL AC HFA aerx250 dosis,,,,,,,99999999,,6215429,Fin,,,
SINALER B compx20,2.0,2026-03-07,11:15:48,1.0,1.0,2.0,1102473,Fp: 07/03/26 Ff: 07/03/26,4594972,COMPRA,0014-24723889,ASOPROFARMA,118.0
SINALER B compx20,,,,,,,99999999,,4594972,Fin,,,
TEGRETOL  LC 400 mg compx60,1.0,2026-03-07,13:35:55,1.0,-1.0,0.0,1102592,MM: MP333729 Af: 1500662620060,3034962,Venta,TK 925219,,41.0
TEGRETOL  LC 400 mg compx60,,,,,,,99999999,,3034962,Fin,,,
CILAAL 50 50 mg compx30,1.0,2026-03-07,12:52:21,2.0,-1.0,1.0,1102574,MM: MP334429 Af: 150324479801/,5751132,Venta,TK 925206,,119.0
CILAAL 50 50 mg compx30,,,,,,,99999999,,5751132,Fin,,,
ISLOTIN 0 1000 mg Cmp.recx100,1.0,2026-03-07,12:43:00,1.0,-1.0,0.0,1102565,MM: MP331557 Af: 150486532201/,4938753,Venta,TK 925197,,218.0
ISLOTIN 0 1000 mg Cmp.recx100,,,,,,,99999999,,4938753,Fin,,,
ISLOTIN RET 850 mg Cmp.rec.AP,1.0,2026-03-07,10:20:43,0.0,1.0,1.0,1102401,Fp: 07/03/26 Ff: 06/03/26,3923823,COMPRA,0150-12020545,DROGUERIA DEL SUD SA,118.0
ISLOTIN RET 850 mg Cmp.rec.AP,,,,,,,99999999,,3923823,Fin,,,
ISLOTIN RET 850 mg Cmp.rec.AP,2.0,2026-03-07,10:59:17,2.0,-1.0,1.0,1102459,MM: MP233891 Af: 140283023603/,3923822,Venta,TK 925096,,119.0
ISLOTIN RET 850 mg Cmp.rec.AP,2.0,2026-03-07,20:52:14,2.0,-1.0,1.0,1102801,MM: MP37267 Af: 150653572506/0,3923822,Venta,TK 925413,,239.0
ISLOTIN RET 850 mg Cmp.rec.AP,2.0,2026-03-07,18:06:44,1.0,1.0,2.0,1102724,Fp: 07/03/26 Ff: 07/03/26,3923822,COMPRA,0014-24729154,ASOPROFARMA,64.0
ISLOTIN RET 850 mg Cmp.rec.AP,,,,,,,99999999,,3923822,Fin,,,
TRADON MR 30mg Cmp.lib.modifx6,1.0,2026-03-07,09:17:39,1.0,-1.0,0.0,1102346,MM: MP334217 Af: 140153300208/,5374392,Venta,TK 924999,,119.0
TRADON MR 30mg Cmp.lib.modifx6,1.0,2026-03-07,18:06:44,0.0,1.0,1.0,1102724,Fp: 07/03/26 Ff: 07/03/26,5374392,COMPRA,0014-24729154,ASOPROFARMA,64.0
TRADON MR 30mg Cmp.lib.modifx6,,,,,,,99999999,,5374392,Fin,,,
TRYPTALGIN 25 mg Cmp.recx30,1.0,2026-03-07,10:24:30,1.0,-1.0,0.0,1102409,MM: MP339069 Af: 140127113309/,5697261,Venta,TK 925054,,119.0
TRYPTALGIN 25 mg Cmp.recx30,1.0,2026-03-07,18:06:44,0.0,1.0,1.0,1102724,Fp: 07/03/26 Ff: 07/03/26,5697261,COMPRA,0014-24729154,ASOPROFARMA,64.0
TRYPTALGIN 25 mg Cmp.recx30,,,,,,,99999999,,5697261,Fin,,,
CABAL compx10,1.0,2026-03-07,09:47:49,1.0,-1.0,0.0,1102373,MM:  Af:,4859631,Venta,TK 925025,,17.0
CABAL compx10,1.0,2026-03-07,18:06:44,0.0,1.0,1.0,1102724,Fp: 07/03/26 Ff: 07/03/26,4859631,COMPRA,0014-24729154,ASOPROFARMA,64.0
CABAL compx10,,,,,,,99999999,,4859631,Fin,,,
IBEPRAL 60 cápsx30,1.0,2026-03-07,21:35:57,1.0,-1.0,0.0,1102817,MM: P448279 Af: 62868918601,6426972,Venta,TK 925429,,239.0
IBEPRAL 60 cápsx30,,,,,,,99999999,,6426972,Fin,,,
ANTIPRESOL 100 mg compx30,9.0,2026-03-07,20:25:24,12.0,-1.0,11.0,1102794,MM: MP336512 Af: 140925020709/, 598197,Venta,TK 925406,,239.0
ANTIPRESOL 100 mg compx30,,,,,,,99999999,, 598197,Fin,,,
BIDEON LAGR gtasx15 ml,6.0,2026-03-07,20:25:11,7.0,-1.0,6.0,1102793,MM:  Af:,9953285,Venta,TK 925405,,64.0
BIDEON LAGR gtasx15 ml,,,,,,,99999999,,9953285,Fin,,,
BIDEON solx10 ml,8.0,2026-03-07,09:26:47,9.0,-1.0,8.0,1102350,MM:  Af:, 489011,Venta,TK 925003,,119.0
BIDEON solx10 ml,,,,,,,99999999,, 489011,Fin,,,
CARAM ANTIBS blister x9,101.0,2026-03-07,14:45:33,102.0,-1.0,101.0,1102626,MM:  Af:,9950041,Venta,TK 925252,,27.0
CARAM ANTIBS blister x9,,,,,,,99999999,,9950041,Fin,,,
FUROSEMIDA compx30,0.0,2026-03-07,11:39:25,0.0,-1.0,-1.0,1102500,MM: MP333658 Af: 150883933002/,2106411,Venta Con Vale!,TK 925134,,236.0
FUROSEMIDA compx30,0.0,2026-03-07,17:43:37,-1.0,1.0,0.0,1102710,Fp: 07/03/26 Ff: 07/03/26,2106411,COMPRA,0004-13831018,CO.FA.LO.ZA. LTDA,64.0
FUROSEMIDA compx30,,,,,,,99999999,,2106411,Fin,,,
IVESTRON 40 mg c psx28 (VL),8.0,2026-03-07,21:10:36,9.0,-1.0,8.0,1102812,MM:  Af:,9963684,Venta,TK 925424,,239.0
IVESTRON 40 mg c psx28 (VL),,,,,,,99999999,,9963684,Fin,,,
ROSUFEC 10 10 mg compx30,8.0,2026-03-07,11:37:18,10.0,-1.0,9.0,1102496,MM: MP333658 Af: 150883933002/,6496001,Venta,TK 925130,,236.0
ROSUFEC 10 10 mg compx30,,,,,,,99999999,,6496001,Fin,,,
ROSUFEC 20 20 mg compx30,3.0,2026-03-07,10:38:20,3.0,-1.0,2.0,1102427,MM: MP334460 Af: 1400175914090,6496131,Venta,TK 925070,,119.0
ROSUFEC 20 20 mg compx30,3.0,2026-03-07,10:55:38,2.0,1.0,3.0,1102457,MM:  Af:,6496131,Anulaci¢n,N1  43604,,37.0
ROSUFEC 20 20 mg compx30,,,,,,,99999999,,6496131,Fin,,,
VALSARFEC D 80/12.5 mg compx28,1.0,2026-03-07,15:18:54,2.0,-1.0,1.0,1102640,MM: MP333658 Af: 150674474908/, 659471,Venta,TK 925266,,13.0
VALSARFEC D 80/12.5 mg compx28,,,,,,,99999999,, 659471,Fin,,,
CALMADOR compx30,2.0,2026-03-07,09:15:18,5.0,-1.0,4.0,1102343,MM: MP331548 Af: 150358577506/,3105824,Venta,TK 924996,,121.0
CALMADOR compx30,2.0,2026-03-07,15:05:33,4.0,-2.0,2.0,1102638,MM: MN190575 Af:,3105824,Venta,TK 925264,,27.0
CALMADOR compx30,,,,,,,99999999,,3105824,Fin,,,
CALMADOR PLUS compx30,2.0,2026-03-07,09:33:32,2.0,-1.0,1.0,1102355,MM: MP336512 Af: 150861652705/,5409263,Venta,TK 925007,,17.0
CALMADOR PLUS compx30,2.0,2026-03-07,19:08:20,2.0,-1.0,1.0,1102756,MM: MP338172 Af: 1508586462010,5409263,Venta,TK 925370,,64.0
CALMADOR PLUS compx30,2.0,2026-03-07,18:06:44,1.0,1.0,2.0,1102724,Fp: 07/03/26 Ff: 07/03/26,5409263,COMPRA,0014-24729154,ASOPROFARMA,64.0
CALMADOR PLUS compx30,,,,,,,99999999,,5409263,Fin,,,
COX-QUIN 90 mg Cmp.recx30,2.0,2026-03-07,15:21:15,2.0,-1.0,1.0,1102642,MM: MP333658 Af: 150674474908/,6406424,Venta,TK 925268,,13.0
COX-QUIN 90 mg Cmp.recx30,,,,,,,99999999,,6406424,Fin,,,
REGULANE CB cáps.blx20,2.0,2026-03-07,10:50:40,2.0,-2.0,0.0,1102451,MM: MP331472 Af: 150253856707/,6413552,Venta,TK 925091,,121.0
REGULANE CB cáps.blx20,2.0,2026-03-07,18:06:44,0.0,2.0,2.0,1102724,Fp: 07/03/26 Ff: 07/03/26,6413552,COMPRA,0014-24729154,ASOPROFARMA,64.0
REGULANE CB cáps.blx20,,,,,,,99999999,,6413552,Fin,,,
TANSILOPROST DUO 0.5/0.4 mg cá,6.0,2026-03-07,20:31:55,7.0,-1.0,6.0,1102797,MM: MP336512 Af: 1504570140070,6211131,Venta,TK 925409,,239.0
TANSILOPROST DUO 0.5/0.4 mg cá,,,,,,,99999999,,6211131,Fin,,,
I.U. 400 capsx30,5.0,2026-03-07,16:53:36,6.0,-1.0,5.0,1102689,MM:  Af:,9930285,Venta,TK 925309,,27.0
I.U. 400 capsx30,,,,,,,99999999,,9930285,Fin,,,
MENIEX 16 mg compx30,3.0,2026-03-07,11:55:20,3.0,-1.0,2.0,1102517,MM: MP331557 Af: 150359458508/,5384682,Venta,TK 925151,,121.0
MENIEX 16 mg compx30,,,,,,,99999999,,5384682,Fin,,,
MENIEX 8 mg compx30,1.0,2026-03-07,13:39:39,1.0,-1.0,0.0,1102595,MM: MP332214 Af: 465005805703/,4742892,Venta,TK 925222,,121.0
MENIEX 8 mg compx30,,,,,,,99999999,,4742892,Fin,,,
UROTOTAL compx30,2.0,2026-03-07,12:50:21,3.0,-1.0,2.0,1102573,MM: MP36410 Af: 150747218904/0, 483834,Venta,TK 925205,,121.0
UROTOTAL compx30,,,,,,,99999999,, 483834,Fin,,,
ALLOPURINOL 300 mg compx30,2.0,2026-03-07,09:46:50,2.0,-1.0,1.0,1102370,MM: MP39607 Af: 140111142506/0,3346237,Venta,TK 925022,,17.0
ALLOPURINOL 300 mg compx30,2.0,2026-03-07,18:06:44,1.0,1.0,2.0,1102724,Fp: 07/03/26 Ff: 07/03/26,3346237,COMPRA,0014-24729154,ASOPROFARMA,64.0
ALLOPURINOL 300 mg compx30,,,,,,,99999999,,3346237,Fin,,,
ALPLAX 0.50 mg compx30,6.0,2026-03-07,18:50:26,4.0,-1.0,3.0,1102746,MM: MP331548 Af: 150449176201/,3214306,Venta,TK 925360,,239.0
ALPLAX 0.50 mg compx30,6.0,2026-03-07,21:47:20,3.0,3.0,6.0,1102821,Fp: 07/03/26 Ff: 07/03/26,3214306,ALTA STOCK AJUSTE,0000-00021545,*GENERAL*,64.0
ALPLAX 0.50 mg compx30,,,,,,,99999999,,3214306,Fin,,,
