codigo,descrip_old,descrip_new,ROP_ajustado_old,ROP_ajustado_new,changed_ROP_ajustado,ROP_intermedio_old,ROP_intermedio_new,changed_ROP_intermedio,ROP_holgado_old,ROP_holgado_new,changed_ROP_holgado,changed_any_rop
6122398,PLIDEX S 200/120 mg Cmp.recx60,PLIDEX S 200/120 mg Cmp.recx60,0.0,0.0,False,1.0,1.0,False,1.0,2.0,True,True
6137712,REDUPROST DUO caps.duras x30,REDUPROST DUO caps.duras x30,1.0,1.0,False,2.0,2.0,False,4.0,3.0,True,True
6145971,ISLOTIN XR 750 750 mg Cmp.rec.,ISLOTIN XR 750 750 mg Cmp.rec.,1.0,1.0,False,2.0,2.0,False,2.0,3.0,True,True
6151842,ISLOTIN XR 0 1000 mg Cmp.rec.A,ISLOTIN XR 0 1000 mg Cmp.rec.A,0.0,1.0,True,1.0,2.0,True,2.0,2.0,False,True
6153842,TOFLUX 600 mg sobx20,TOFLUX 600 mg sobx20,0.0,0.0,False,0.0,1.0,True,0.0,1.0,True,True
6158002,DESIRE 2 mg Cmp.recx28,DESIRE 2 mg Cmp.recx28,1.0,2.0,True,2.0,3.0,True,3.0,4.0,True,True
6176711,UROCETINA 0.4 mg caps.lib.prol,UROCETINA 0.4 mg caps.lib.prol,0.0,1.0,True,1.0,2.0,True,2.0,3.0,True,True
6197391,TACRAF GEL gel x60 g,TACRAF GEL gel x60 g,0.0,0.0,False,1.0,1.0,False,1.0,2.0,True,True
6202972,DOMEKA 50 mg compx30,DOMEKA 50 mg compx30,0.0,0.0,False,1.0,0.0,True,1.0,0.0,True,True
6209971,FLORATIL 250 mg cÃÂÃÂpsx12,FLORATIL 250 mg cÃpsx12,1.0,0.0,True,2.0,1.0,True,2.0,1.0,True,True
6209971,FLORATIL 250 mg cÃÂÃÂ¡psx12,FLORATIL 250 mg cÃpsx12,1.0,0.0,True,2.0,1.0,True,2.0,1.0,True,True
6222393,TARUSOL 0.4 mg Cmp.lib.prolx60,TARUSOL 0.4 mg Cmp.lib.prolx60,0.0,0.0,False,1.0,0.0,True,1.0,1.0,False,True
6223421,TUCLARIT 500 mg compx14,TUCLARIT 500 mg compx14,0.0,1.0,True,1.0,2.0,True,2.0,2.0,False,True
6244842,ZOMARIST MET 50/500 mg compx60,ZOMARIST MET 50/500 mg compx60,0.0,0.0,False,1.0,1.0,False,1.0,2.0,True,True
6274132,IBUPIRAC 600 CAPSULA BLANDA 60,IBUPIRAC 600 CAPSULA BLANDA 60,1.0,1.0,False,2.0,2.0,False,2.0,3.0,True,True
6274715,NEUMOCORT PLUS aer./inhalx150,NEUMOCORT PLUS aer./inhalx150,1.0,1.0,False,2.0,2.0,False,3.0,4.0,True,True
6283682,LIPIFEN 40 mg compx30,LIPIFEN 40 mg compx30,1.0,0.0,True,2.0,1.0,True,2.0,2.0,False,True
6297971,DAFLON 1000 sachets x30,DAFLON 1000 sachets x30,0.0,1.0,True,1.0,2.0,True,2.0,2.0,False,True
6301001,AMAPOLI Cmp.recx28,AMAPOLI Cmp.recx28,1.0,1.0,False,2.0,2.0,False,2.0,3.0,True,True
6304261,LIPITOR 80 mg compx30,LIPITOR 80 mg compx30,0.0,1.0,True,1.0,2.0,True,2.0,2.0,False,True
6307391,MOBAN 10 mg compx30,MOBAN 10 mg compx30,0.0,0.0,False,1.0,1.0,False,2.0,1.0,True,True
6312683,DISARVAL D 160/12.5/10 mg comp,DISARVAL D 160/12.5/10 mg comp,0.0,0.0,False,1.0,1.0,False,1.0,2.0,True,True
6316711,DIOSMIN CR pomo x30 g,DIOSMIN CR pomo x30 g,0.0,0.0,False,1.0,0.0,True,1.0,1.0,False,True
6339396,ERISOL 4% gel x30 g,ERISOL 4% gel x30 g,0.0,0.0,False,0.0,1.0,True,0.0,1.0,True,True
